time,id,pos,sugar,age,vision,metabolism,sex,children,loans_given,loans_owed,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,chose_not_to_reproduce,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.67f0, stimulation = -1.61f0, hedonism = -0.36f0, achievement = 0.37f0, power = -0.34f0, security = 1.01f0, conformity = 0.08f0, tradition = 0.8f0, benevolence = 0.15f0, universalism = 0.56f0)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.21f0, stimulation = -3.63f0, hedonism = -0.42f0, achievement = -0.94f0, power = -1.04f0, security = 1.61f0, conformity = 1.01f0, tradition = 1.25f0, benevolence = 1.56f0, universalism = 0.81f0)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.42f0, stimulation = -0.29f0, hedonism = -0.14f0, achievement = -1.87f0, power = 0.67f0, security = -1.49f0, conformity = 1.32f0, tradition = 0.97f0, benevolence = -0.35f0, universalism = 0.76f0)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.05f0, stimulation = -0.9f0, hedonism = 0.89f0, achievement = -1.12f0, power = -1.28f0, security = -1.56f0, conformity = -0.45f0, tradition = -0.1f0, benevolence = 1.71f0, universalism = 1.76f0)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.3f0, stimulation = -1.06f0, hedonism = 1.04f0, achievement = -1.68f0, power = -1.32f0, security = 1.3f0, conformity = -1.04f0, tradition = 1.35f0, benevolence = 1.0f0, universalism = 0.71f0)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.28f0, stimulation = -1.52f0, hedonism = -0.5f0, achievement = 1.48f0, power = 0.28f0, security = 0.79f0, conformity = -0.54f0, tradition = -0.45f0, benevolence = 0.49f0, universalism = 0.27f0)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.88f0, stimulation = -0.96f0, hedonism = -0.3f0, achievement = -0.47f0, power = -2.32f0, security = 1.24f0, conformity = -0.39f0, tradition = -1.06f0, benevolence = 2.05f0, universalism = 1.34f0)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.5f0, stimulation = 0.33f0, hedonism = 0.65f0, achievement = -0.29f0, power = -1.11f0, security = 1.05f0, conformity = -1.78f0, tradition = -0.97f0, benevolence = 0.46f0, universalism = 0.17f0)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.14f0, stimulation = 0.32f0, hedonism = -0.63f0, achievement = 0.92f0, power = -0.03f0, security = -0.91f0, conformity = -0.3f0, tradition = 1.2f0, benevolence = -0.07f0, universalism = -0.36f0)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.74f0, stimulation = -0.57f0, hedonism = -0.1f0, achievement = 0.24f0, power = -0.57f0, security = 1.46f0, conformity = -1.21f0, tradition = -0.26f0, benevolence = -0.85f0, universalism = 0.11f0)"
