time,id,pos,sugar,age,vision,metabolism,sex,children,loans_given,loans_owed,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,chose_not_to_reproduce,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.52f0, stimulation = 0.49f0, hedonism = -1.15f0, achievement = -0.75f0, power = -1.77f0, security = 1.11f0, conformity = 0.87f0, tradition = 2.01f0, benevolence = 0.24f0, universalism = -0.53f0)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.6f0, stimulation = 0.03f0, hedonism = 1.48f0, achievement = 0.68f0, power = 0.39f0, security = -1.38f0, conformity = -0.62f0, tradition = -1.93f0, benevolence = 0.24f0, universalism = 0.49f0)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.51f0, stimulation = -1.74f0, hedonism = 0.6f0, achievement = 0.29f0, power = 0.08f0, security = -0.84f0, conformity = -0.56f0, tradition = 0.06f0, benevolence = 1.38f0, universalism = 0.21f0)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.43f0, stimulation = -0.65f0, hedonism = -1.79f0, achievement = -0.4f0, power = -0.28f0, security = 0.04f0, conformity = 1.87f0, tradition = 0.39f0, benevolence = -0.48f0, universalism = 0.88f0)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.71f0, stimulation = -1.11f0, hedonism = -1.1f0, achievement = 0.24f0, power = -1.12f0, security = 1.37f0, conformity = -1.75f0, tradition = -0.09f0, benevolence = 1.27f0, universalism = 1.59f0)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.33f0, stimulation = 0.0f0, hedonism = 0.1f0, achievement = 0.42f0, power = -0.17f0, security = 1.27f0, conformity = -0.82f0, tradition = -0.08f0, benevolence = 0.06f0, universalism = -0.45f0)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.46f0, stimulation = -1.1f0, hedonism = -2.1f0, achievement = -0.34f0, power = -0.76f0, security = 0.54f0, conformity = 0.05f0, tradition = 2.16f0, benevolence = 0.14f0, universalism = 0.95f0)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.17f0, stimulation = 0.06f0, hedonism = -1.59f0, achievement = -0.09f0, power = -1.22f0, security = 1.73f0, conformity = 0.1f0, tradition = 0.19f0, benevolence = -0.14f0, universalism = 0.78f0)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.32f0, stimulation = -1.03f0, hedonism = -0.2f0, achievement = -0.67f0, power = -0.73f0, security = 0.9f0, conformity = 0.18f0, tradition = -0.2f0, benevolence = 0.3f0, universalism = 1.14f0)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.08f0, stimulation = -1.6f0, hedonism = 0.03f0, achievement = 0.75f0, power = -1.62f0, security = 0.25f0, conformity = -0.18f0, tradition = -0.4f0, benevolence = 1.48f0, universalism = 0.2f0)"
0,11,"(35, 1)",8.0,0,2,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.82f0, stimulation = -2.05f0, hedonism = -1.75f0, achievement = -0.41f0, power = -1.16f0, security = 1.09f0, conformity = 0.2f0, tradition = 0.74f0, benevolence = 1.87f0, universalism = 0.64f0)"
0,12,"(21, 9)",8.0,0,6,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.12f0, stimulation = -1.22f0, hedonism = -0.16f0, achievement = -1.57f0, power = -2.4f0, security = 1.97f0, conformity = -0.49f0, tradition = 1.06f0, benevolence = 1.82f0, universalism = 0.86f0)"
0,13,"(17, 26)",14.0,0,6,4,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.19f0, stimulation = -1.27f0, hedonism = 1.23f0, achievement = -1.15f0, power = -0.68f0, security = 0.41f0, conformity = -0.54f0, tradition = -1.1f0, benevolence = 1.85f0, universalism = 0.06f0)"
0,14,"(13, 40)",10.0,0,2,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.37f0, stimulation = -1.78f0, hedonism = -0.83f0, achievement = -1.09f0, power = -0.52f0, security = 0.57f0, conformity = 0.69f0, tradition = 1.23f0, benevolence = 0.31f0, universalism = 1.8f0)"
0,15,"(28, 20)",5.0,0,4,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.87f0, stimulation = -2.6f0, hedonism = -1.33f0, achievement = -1.0f0, power = -1.56f0, security = 0.05f0, conformity = 1.98f0, tradition = 1.34f0, benevolence = 1.33f0, universalism = 0.91f0)"
0,16,"(38, 38)",11.0,0,6,3,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 2.06f0, stimulation = -0.16f0, hedonism = -0.14f0, achievement = -1.14f0, power = -1.41f0, security = 0.1f0, conformity = -1.74f0, tradition = 0.61f0, benevolence = 0.65f0, universalism = 1.18f0)"
0,17,"(13, 44)",22.0,0,1,2,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.47f0, stimulation = -1.18f0, hedonism = 1.67f0, achievement = -0.93f0, power = 0.77f0, security = -0.5f0, conformity = 0.67f0, tradition = -1.13f0, benevolence = 0.82f0, universalism = -0.67f0)"
0,18,"(50, 21)",11.0,0,5,4,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.79f0, stimulation = -1.65f0, hedonism = -0.38f0, achievement = -1.7f0, power = 0.27f0, security = 0.56f0, conformity = 2.1f0, tradition = -0.38f0, benevolence = 1.05f0, universalism = 0.92f0)"
0,19,"(48, 27)",22.0,0,4,2,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.33f0, stimulation = -0.78f0, hedonism = -0.59f0, achievement = -0.91f0, power = -0.79f0, security = 1.05f0, conformity = 0.52f0, tradition = -0.38f0, benevolence = 0.98f0, universalism = 0.59f0)"
0,20,"(13, 9)",14.0,0,4,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.37f0, stimulation = 0.91f0, hedonism = -0.05f0, achievement = -0.6f0, power = -1.43f0, security = -1.23f0, conformity = -0.02f0, tradition = 0.03f0, benevolence = 0.11f0, universalism = 0.91f0)"
0,21,"(6, 20)",24.0,0,4,1,female,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 2.45f0, stimulation = -1.74f0, hedonism = -1.27f0, achievement = 0.5f0, power = -1.14f0, security = 1.0f0, conformity = 0.41f0, tradition = -0.13f0, benevolence = 0.65f0, universalism = -0.72f0)"
0,22,"(20, 18)",25.0,0,1,3,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.63f0, stimulation = -1.44f0, hedonism = -1.1f0, achievement = 0.34f0, power = -1.1f0, security = 1.41f0, conformity = -0.19f0, tradition = 0.6f0, benevolence = 0.35f0, universalism = 0.51f0)"
0,23,"(31, 2)",23.0,0,2,1,male,Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.01f0, stimulation = -1.04f0, hedonism = -3.35f0, achievement = -0.59f0, power = -0.56f0, security = 1.0f0, conformity = 0.4f0, tradition = 0.68f0, benevolence = 2.04f0, universalism = 1.41f0)"
