time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_reproduce,traits
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 4.56, conscientiousness = 3.05, extraversion = 3.38, agreeableness = 4.38, neuroticism = 3.59)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 3.93, conscientiousness = 3.85, extraversion = 2.52, agreeableness = 3.67, neuroticism = 3.04)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 4.41, conscientiousness = 3.9, extraversion = 1.74, agreeableness = 3.06, neuroticism = 3.73)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 2.62, conscientiousness = 3.12, extraversion = 3.71, agreeableness = 2.84, neuroticism = 2.05)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 2.85, conscientiousness = 3.05, extraversion = 1.0, agreeableness = 2.42, neuroticism = 5.0)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 4.11, conscientiousness = 3.54, extraversion = 2.91, agreeableness = 4.04, neuroticism = 2.98)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 4.01, conscientiousness = 3.59, extraversion = 3.06, agreeableness = 3.35, neuroticism = 2.91)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 3.09, conscientiousness = 3.16, extraversion = 1.85, agreeableness = 2.4, neuroticism = 2.64)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 4.27, conscientiousness = 4.19, extraversion = 3.35, agreeableness = 3.98, neuroticism = 3.28)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 3.44, conscientiousness = 3.68, extraversion = 3.12, agreeableness = 4.18, neuroticism = 3.5)"
0,11,"(35, 1)",8.0,0,2,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 4.05, conscientiousness = 3.5, extraversion = 2.9, agreeableness = 3.46, neuroticism = 3.31)"
0,12,"(21, 9)",8.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(openness = 3.43, conscientiousness = 3.4, extraversion = 1.82, agreeableness = 3.09, neuroticism = 4.09)"
