time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,traits
0,1,"(2, 21)",9.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.3, conscientiousness = 4.06, extraversion = 5.0, agreeableness = 5.0, neuroticism = 1.74)"
0,2,"(10, 47)",6.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 2.88, conscientiousness = 4.74, extraversion = 4.21, agreeableness = 5.0, neuroticism = 3.29)"
0,3,"(30, 6)",14.0,0,1,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.64, conscientiousness = 3.19, extraversion = 4.0, agreeableness = 3.02, neuroticism = 3.36)"
0,4,"(9, 13)",16.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.44, conscientiousness = 3.63, extraversion = 2.86, agreeableness = 4.0, neuroticism = 4.3)"
0,5,"(3, 34)",22.0,0,6,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.52, conscientiousness = 3.92, extraversion = 4.06, agreeableness = 5.0, neuroticism = 2.77)"
0,6,"(26, 27)",11.0,0,3,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.88, conscientiousness = 3.58, extraversion = 4.41, agreeableness = 4.26, neuroticism = 3.27)"
0,7,"(9, 40)",8.0,0,1,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.21, conscientiousness = 1.48, extraversion = 2.2, agreeableness = 3.14, neuroticism = 5.0)"
0,8,"(33, 22)",15.0,0,4,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.03, conscientiousness = 3.0, extraversion = 2.93, agreeableness = 3.54, neuroticism = 1.04)"
0,9,"(13, 19)",13.0,0,2,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.48, conscientiousness = 3.17, extraversion = 4.01, agreeableness = 5.0, neuroticism = 3.14)"
0,10,"(39, 45)",14.0,0,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.93, conscientiousness = 3.04, extraversion = 2.77, agreeableness = 3.04, neuroticism = 4.0)"
0,11,"(35, 1)",8.0,0,2,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 2.81, conscientiousness = 2.48, extraversion = 3.07, agreeableness = 4.37, neuroticism = 3.02)"
0,12,"(21, 9)",8.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.4, conscientiousness = 2.84, extraversion = 3.37, agreeableness = 4.04, neuroticism = 2.22)"
0,13,"(17, 26)",14.0,0,6,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.88, conscientiousness = 2.02, extraversion = 2.82, agreeableness = 5.0, neuroticism = 2.9)"
0,14,"(13, 40)",10.0,0,2,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 2.02, conscientiousness = 2.18, extraversion = 3.31, agreeableness = 3.69, neuroticism = 2.84)"
0,15,"(28, 20)",5.0,0,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.76, conscientiousness = 2.99, extraversion = 2.98, agreeableness = 3.54, neuroticism = 4.26)"
0,16,"(38, 38)",11.0,0,6,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.93, conscientiousness = 2.9, extraversion = 5.0, agreeableness = 5.0, neuroticism = 2.02)"
0,17,"(13, 44)",22.0,0,1,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.08, conscientiousness = 3.23, extraversion = 4.03, agreeableness = 3.79, neuroticism = 2.31)"
0,18,"(50, 21)",11.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.77, conscientiousness = 3.49, extraversion = 3.52, agreeableness = 3.4, neuroticism = 3.8)"
0,19,"(48, 27)",22.0,0,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.27, conscientiousness = 3.55, extraversion = 1.29, agreeableness = 4.89, neuroticism = 3.49)"
0,20,"(13, 9)",14.0,0,4,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.11, conscientiousness = 4.74, extraversion = 2.78, agreeableness = 4.85, neuroticism = 4.75)"
0,21,"(6, 20)",24.0,0,4,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.35, conscientiousness = 3.62, extraversion = 2.58, agreeableness = 3.03, neuroticism = 3.52)"
0,22,"(20, 18)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.0, conscientiousness = 2.18, extraversion = 2.31, agreeableness = 3.19, neuroticism = 2.53)"
0,23,"(31, 2)",23.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.19, conscientiousness = 3.39, extraversion = 4.06, agreeableness = 2.67, neuroticism = 2.77)"
0,24,"(12, 50)",14.0,0,6,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.53, conscientiousness = 2.07, extraversion = 5.0, agreeableness = 4.4, neuroticism = 2.36)"
0,25,"(10, 9)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.09, conscientiousness = 2.99, extraversion = 4.12, agreeableness = 4.92, neuroticism = 4.64)"
0,26,"(44, 18)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 3.99, conscientiousness = 2.51, extraversion = 3.39, agreeableness = 3.39, neuroticism = 3.39)"
0,27,"(37, 1)",25.0,0,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,"(openness = 4.09, conscientiousness = 4.81, extraversion = 2.64, agreeableness = 3.56, neuroticism = 3.37)"
